gen,best,mean,sigma,gravity,phase,elapsed_s
228,814.4421421831615,197.6232782784702,0.37157116688525166,-11.743113814113775,random,1.2143311500549316
229,807.4865184940109,251.32725237745058,0.37115046806512003,-7.055422925841247,random,1.536780834197998
230,786.736563716768,217.00354820021025,0.370692492248322,-8.559009557249528,random,1.464477300643921
231,1151.0450478944367,287.32718296109493,0.3702058830941662,-6.199390671669522,random,1.6722490787506104
232,901.3226092297206,312.9110570669999,0.3697130471175738,-7.8711810150234065,random,1.6439998149871826
233,682.6471654506654,287.7708132723751,0.3692057201329871,-10.291913086348618,random,1.375600814819336
234,531.4062391123185,156.4204882381194,0.36860489322330847,-11.865119589157729,random,1.1216988563537598
235,883.3540012499631,334.1409359918931,0.3678761062536397,-9.357492447969253,random,1.4539039134979248
236,1143.9520783417183,226.01000814328876,0.36713149560332203,-8.80142434516386,random,1.5038821697235107
237,683.5867425757533,307.9658069761316,0.3665879931194022,-9.445593517169732,random,1.5450069904327393
238,1103.4302017728576,287.11578683177265,0.3661288720426532,-7.3617747559308535,random,1.9216430187225342
239,899.1986135053247,290.38272881419346,0.3655753903341577,-9.706166072251033,random,1.5539829730987549
240,718.105089484057,285.97343284318856,0.3650822298520559,-10.830523342600102,random,1.3415789604187012
241,1149.840851926336,345.7850417567123,0.3645443034787197,-7.06001292296215,random,1.7519598007202148
242,1090.9804240141937,242.4224973533116,0.36421421807721593,-7.81505841678744,random,1.4660978317260742
243,1351.863677839829,340.24947411072515,0.36389126613377853,-8.044838210431571,random,1.7575831413269043
244,1010.145970885875,321.2040900697174,0.3635685155139965,-7.382979760420952,random,1.7099518775939941
245,1228.8084337272812,416.66062147878836,0.3633219726594185,-6.488027330048766,random,1.9254629611968994
246,1419.2613422146478,377.6033499325862,0.3630456875377171,-7.740211658656817,random,1.9738011360168457
247,767.5688539462229,232.7066461700215,0.36291991891386455,-11.523956264549534,random,1.1566767692565918
248,930.7020469494528,244.2847239988282,0.3627548493265278,-10.282839352360515,random,1.3763537406921387
249,578.2712511102623,275.9557050090956,0.36261178526466603,-11.452773433923053,random,1.2410190105438232
250,731.1783362979363,240.8054574483969,0.36239512634653775,-10.57759909596854,random,1.484865665435791
251,889.1942471497524,287.91562309306755,0.36219164747007637,-8.295756757519866,random,1.5599300861358643
252,732.6310073801482,313.16815990511475,0.3620010504240097,-10.113463379039484,random,1.5105993747711182
253,637.9129555361638,230.91002935743342,0.3616758940785274,-9.122619012748109,random,1.4600629806518555
254,1578.902547091108,361.46484265261563,0.36116942573005606,-7.633178762925647,random,1.7880048751831055
255,1311.4900366797021,432.99496157298944,0.3607796859810713,-7.0544935433371805,random,2.043290138244629
256,1162.0035450166306,389.3023577671787,0.36031355146853367,-6.394401738944973,random,2.081662893295288
257,824.5985482961847,276.840373028969,0.3597255939880511,-9.87319020103596,random,1.507723093032837
258,851.3231883881352,246.98748094689944,0.35913848862375597,-11.114007920915823,random,1.419255018234253
259,736.9952946405245,99.56380225381419,0.35864492787785807,-11.182939323153985,random,1.3003082275390625
260,1069.150391878078,282.35504728081634,0.35811231728520204,-6.626264107068471,random,1.9109711647033691
261,963.6248514615309,180.01661171784014,0.3574780668508372,-9.573914558945512,random,1.295301914215088
