arm,gen,n_seeds,median_score,q1_score,q3_score,mean_score
fixed_gravity,440,10,876.6610494839555,599.5333281440837,1196.771886254087,958.749526557842
fixed_gravity,450,10,1077.3423173015053,849.6661685356905,1335.4650329577375,1048.7396750938194
fixed_gravity,460,10,781.8889621609046,732.7443366600428,1171.0020743666526,907.3162373534975
fixed_gravity,470,10,1108.6570386611004,788.6832112418549,1264.3096034584862,1026.825152526498
fixed_gravity,480,10,966.1762823230689,829.305810398153,1276.810182116145,1030.7689134367097
fixed_gravity,490,10,1120.3288286631764,677.2691597199828,1224.5301231061667,1017.906976156362
random_variable_gravity,0,11,-322.8252970274019,-342.0388181420019,-304.37630685579495,-327.22787134925926
random_variable_gravity,5,1,-348.0548763998433,-348.0548763998433,-348.0548763998433,-348.0548763998433
random_variable_gravity,10,10,-238.7073506216887,-248.701739233206,-233.03125289084278,-228.58443110933158
random_variable_gravity,20,10,-9.70374786610602,-68.34213107092737,27.088369773471552,-21.441934758455318
random_variable_gravity,30,10,18.535586550883405,4.350533810398955,57.95743012562735,32.78661710592982
random_variable_gravity,40,10,106.33537265507607,59.617474303499215,131.89921023312198,68.36466588708974
random_variable_gravity,50,10,141.81326567690144,-29.390546774076356,186.79631971690068,114.97008243206707
random_variable_gravity,60,10,168.09999311704098,72.77919445823429,228.0673549206066,161.17531347903042
random_variable_gravity,70,10,188.09360588362267,127.29643936499838,313.0351473875974,208.1220709198435
random_variable_gravity,80,10,267.2571436534314,201.5609846390507,286.3016544527758,221.04964957075103
random_variable_gravity,90,10,234.64167540339218,214.49871212883238,294.84522576121185,248.27692834054764
random_variable_gravity,100,10,241.35166992776823,171.29866013317903,321.84034981472195,220.70338930456055
random_variable_gravity,110,10,250.01508154275223,235.36257536289128,331.0181116686439,276.3863701405511
random_variable_gravity,120,10,239.0774100996206,181.12543749652775,383.87727487596266,272.67331656019564
random_variable_gravity,130,10,269.4181106847906,192.53275451673036,334.58212545543455,248.03174145636336
random_variable_gravity,140,10,248.05875862826207,229.78183827032422,319.5788322236649,265.0077502453704
random_variable_gravity,150,10,273.12426016943886,188.80852944473006,362.50539182426803,298.76604059321096
random_variable_gravity,160,10,329.2575546226834,273.9628933356182,369.2644459591786,278.6405615106499
