gen,best,mean,sigma,gravity,phase,elapsed_s
39,287.6166793342307,-70.39784823110082,0.3951309459812256,-2.0,warmup,1.4874439239501953
40,458.33420423629724,1.9362680632025857,0.39451907934934444,-2.0,warmup,1.5457720756530762
41,240.0851407242845,-30.46380290808539,0.39409171989536623,-2.0,warmup,1.3910322189331055
42,381.96692571238987,-8.797224751242384,0.393684920024191,-2.0,warmup,1.5850090980529785
43,209.67212348960152,-4.903864221272171,0.39332748610374574,-2.0,warmup,1.407358169555664
44,315.3142404243715,-55.102254692000294,0.3930702534264239,-2.0,warmup,1.3644371032714844
45,440.006015956716,-14.474595794144927,0.3929460747034869,-2.0,warmup,1.5101182460784912
46,656.4006861729562,28.97048230581479,0.39266845627769376,-2.0,warmup,1.524350881576538
47,357.10482036802415,51.500440078618645,0.3923950533202775,-2.0,warmup,1.61860990524292
48,396.10790272728394,71.760755741554,0.3920844679352749,-2.0,warmup,1.7928781509399414
49,296.01239298487195,30.28446257391433,0.3917287862222582,-2.0,warmup,1.6459193229675293
50,462.45999773292164,55.93837156123643,0.3915162263403075,-2.0,warmup,1.664480209350586
51,333.23009989337066,63.804137653133395,0.3913192106545049,-2.0,warmup,1.844447135925293
52,560.7447524205475,57.667391181009634,0.3911568088091839,-2.0,warmup,1.642486810684204
53,682.6934711506648,22.240855567714704,0.3908546396879104,-2.0,warmup,1.7852587699890137
54,602.4726531681736,-14.80214500174414,0.3905529383294077,-2.0,warmup,1.7076599597930908
55,552.924323882308,79.12389761388783,0.39026368592265,-2.0,warmup,1.603114128112793
56,923.2938457740323,98.1559445051987,0.3900892490476917,-2.0,warmup,1.6886539459228516
57,606.52816883299,107.91386461743602,0.38992216555025594,-2.0,warmup,1.803318977355957
58,471.3089956719046,66.11274838540196,0.38973185921086945,-2.0,warmup,1.6475882530212402
59,689.656835824284,81.90791963969582,0.3895265923075229,-2.0,warmup,1.672494888305664
60,704.4527349853083,128.28668604714412,0.38942975840559707,-2.0,warmup,1.812838077545166
61,453.07884016597,101.18776361912361,0.38925525696857977,-2.0,warmup,1.6520421504974365
62,735.4201115697421,124.25023737142658,0.3891090131381206,-2.0,warmup,1.7181339263916016
63,638.426281357055,128.50285065658818,0.38891369109984986,-2.0,warmup,1.8780169486999512
64,559.8125015866927,70.74045061262257,0.38884054038764626,-2.0,warmup,1.67460298538208
65,590.0130615199613,137.39147387802277,0.388822698867682,-2.0,warmup,1.8677330017089844
66,648.7490355623994,111.43045846508633,0.38876298065969217,-2.0,warmup,1.888624906539917
67,386.1181669447457,-50.0864804734893,0.38853729615046434,-2.0,warmup,1.525219202041626
68,638.3091646526182,97.78195875797122,0.388215389593711,-2.0,warmup,1.7498879432678223
69,525.0174679639407,152.13595129191032,0.3877751505552415,-2.0,warmup,1.7793238162994385
70,711.9986723029579,64.80328518900944,0.38728945521672686,-2.0,warmup,1.6183440685272217
71,546.8085236643993,81.80122783032127,0.386786802814703,-2.0,warmup,1.5757789611816406
72,508.7401663233389,133.3269389878196,0.3863110433352613,-2.0,warmup,1.7017951011657715
73,533.8346615894384,137.02553024328944,0.38591474946140636,-2.0,warmup,1.7345478534698486
74,608.2639283073088,96.0862583859154,0.3855755785149823,-2.0,warmup,1.7831602096557617
75,736.7578451823287,122.97819411188843,0.3853589957029265,-2.0,warmup,1.8309359550476074
76,703.7503980222826,29.260889391289652,0.38520700124281926,-2.0,warmup,1.7378652095794678
77,460.8612922375164,49.1045409907752,0.38498723791902856,-2.0,warmup,1.6737520694732666
78,675.6702324653064,123.18245587484532,0.3847423909846316,-2.0,warmup,1.727374792098999
79,753.8186779095482,97.3350141003551,0.3845806824479294,-2.0,warmup,1.7860097885131836
80,872.5671058126974,119.68413583169647,0.38427145748165437,-2.0,warmup,1.817990779876709
81,690.3155184756292,107.32689618540012,0.3838655851937353,-2.0,warmup,1.8244099617004395
82,801.1744683420857,66.92550147572567,0.3833115358349728,-2.0,warmup,1.6335220336914062
83,770.381802370816,87.18613382728566,0.3828787547698674,-2.0,warmup,1.7376132011413574
84,572.5998448582409,128.53620007835406,0.3826045467116819,-2.0,warmup,1.840590238571167
85,555.8373996866602,118.99831721638188,0.3824120293758332,-2.0,warmup,1.7824950218200684
86,559.2494927838752,158.18467772336209,0.3822385368420538,-2.0,warmup,1.7922842502593994
87,579.2427154840892,71.9315547242332,0.3820610067158157,-2.0,warmup,1.77524995803833
88,561.6188237199743,95.82818099238104,0.3819813263808591,-2.0,warmup,1.5639948844909668
89,585.6792834161265,45.63255398598703,0.38189137866308925,-2.0,warmup,1.4957540035247803
90,799.9920555689583,107.28930479341909,0.38192522862344824,-2.0,warmup,1.6791491508483887
91,737.9401522468929,120.944980207865,0.38206714632005845,-2.0,warmup,1.6000490188598633
92,594.3161527851295,68.99572660179007,0.3821831497943777,-2.0,warmup,1.4797391891479492
93,905.2511041638212,136.56221263351972,0.38234143105056656,-2.0,warmup,1.6432082653045654
94,734.9617164753619,186.5567458279984,0.3826263736337388,-2.0,warmup,1.827894926071167
