arm,generation,mean_score,sem_score,mean_progress_m,sem_progress_m,n_seeds
staged_evolution,480,1371.54,226.83,7.414,1.539,10
staged_evolution,490,1397.48,224.49,7.625,1.492,10
adaptive_progression,0,-379.84,10.39,-0.257,0.07,10
adaptive_progression,10,-335.22,13.33,-0.167,0.057,10
adaptive_progression,20,-291.69,30.64,-0.038,0.103,10
adaptive_progression,30,-234.72,38.37,0.052,0.139,10
adaptive_progression,40,-216.07,48.25,0.066,0.178,10
adaptive_progression,50,-180.91,37.17,0.211,0.12,10
adaptive_progression,60,-171.5,65.91,-0.035,0.232,10
adaptive_progression,70,-156.94,58.34,0.091,0.235,10
adaptive_progression,80,-109.11,48.08,0.363,0.185,10
adaptive_progression,90,-74.19,61.93,0.347,0.215,10
adaptive_progression,100,10.5,60.08,0.651,0.216,10
adaptive_progression,110,-108.17,68.15,0.344,0.267,10
adaptive_progression,120,2.94,47.31,0.675,0.192,10
adaptive_progression,130,28.72,57.68,0.657,0.218,10
adaptive_progression,140,15.62,66.23,0.668,0.243,10
adaptive_progression,150,76.49,64.16,0.936,0.263,10
adaptive_progression,160,36.68,68.09,0.766,0.318,10
adaptive_progression,170,89.68,52.52,0.971,0.198,10
adaptive_progression,180,102.7,60.05,0.932,0.243,10
adaptive_progression,190,129.12,57.73,1.03,0.202,10
adaptive_progression,200,156.68,72.11,1.171,0.315,10
adaptive_progression,210,136.03,70.71,1.01,0.273,10
adaptive_progression,220,161.97,70.38,1.124,0.292,10
adaptive_progression,230,166.74,71.78,1.141,0.294,10
adaptive_progression,240,149.87,78.18,1.042,0.276,10
adaptive_progression,250,222.53,74.38,1.386,0.332,10
adaptive_progression,260,260.92,108.98,1.535,0.513,10
adaptive_progression,270,215.05,104.83,1.382,0.464,10
adaptive_progression,280,255.96,98.18,1.557,0.428,10
adaptive_progression,290,339.03,138.02,1.795,0.584,10
adaptive_progression,300,370.92,150.86,2.017,0.702,10
adaptive_progression,310,421.07,116.85,2.175,0.532,10
adaptive_progression,320,346.03,105.14,1.854,0.501,10
adaptive_progression,330,425.88,129.83,2.092,0.612,10
adaptive_progression,340,432.92,111.61,2.254,0.604,10
adaptive_progression,350,528.18,124.36,2.504,0.651,10
adaptive_progression,360,488.98,99.87,2.333,0.51,10
adaptive_progression,370,578.99,132.73,2.688,0.688,10
adaptive_progression,380,676.94,156.12,3.24,0.8,10
adaptive_progression,390,618.02,127.86,2.83,0.655,10
adaptive_progression,400,715.36,171.91,3.408,0.935,10
adaptive_progression,410,698.85,157.64,3.213,0.813,10
adaptive_progression,420,749.89,189.06,3.531,0.999,10
adaptive_progression,430,709.33,153.89,3.241,0.796,10
adaptive_progression,440,733.38,153.4,3.525,0.866,10
adaptive_progression,450,724.85,191.04,3.394,0.953,10
adaptive_progression,460,632.07,135.62,2.925,0.689,10
adaptive_progression,470,718.98,157.27,3.442,0.835,10
adaptive_progression,480,799.2,171.94,3.772,0.919,10
adaptive_progression,490,821.2,175.57,3.858,0.937,10
archive_based,0,-383.31,10.78,-0.258,0.07,10
archive_based,10,-330.1,13.81,-0.16,0.058,10
archive_based,20,-288.54,30.37,-0.04,0.103,10
archive_based,30,-227.54,42.51,0.066,0.147,10
archive_based,40,-197.5,55.28,0.089,0.181,10
archive_based,50,-152.87,38.59,0.314,0.123,10
archive_based,60,-128.13,63.58,0.14,0.236,10
archive_based,70,-121.02,57.27,0.253,0.233,10
archive_based,80,-85.33,49.08,0.465,0.188,10
archive_based,90,-56.6,62.26,0.437,0.22,10
archive_based,100,64.7,44.73,0.835,0.143,10
archive_based,110,-63.03,69.76,0.501,0.264,10
archive_based,120,87.32,35.65,0.946,0.081,10
archive_based,130,64.57,54.43,0.819,0.197,10
archive_based,140,89.45,54.67,0.895,0.179,10
archive_based,150,122.49,52.21,1.102,0.237,10
archive_based,160,123.16,61.22,1.093,0.256,10
archive_based,170,99.42,56.39,0.96,0.213,10
archive_based,180,206.62,37.22,1.364,0.208,10
archive_based,190,126.25,60.18,1.03,0.21,10
archive_based,200,191.42,76.94,1.248,0.297,10
archive_based,210,146.86,73.79,1.023,0.258,10
archive_based,220,187.97,75.16,1.301,0.331,10
archive_based,230,177.66,82.78,1.213,0.346,10
archive_based,240,197.21,77.82,1.302,0.313,10
archive_based,250,212.19,70.25,1.349,0.299,10
archive_based,260,274.15,111.93,1.634,0.521,10
archive_based,270,336.57,143.21,2.024,0.721,10
archive_based,280,417.5,192.81,2.232,0.878,10
archive_based,290,381.58,156.54,2.08,0.714,10
archive_based,300,429.94,172.43,2.358,0.825,10
archive_based,310,569.63,209.89,2.859,0.977,10
archive_based,320,618.25,224.64,3.272,1.108,10
archive_based,330,700.67,211.99,3.667,1.212,10
archive_based,340,765.45,223.17,3.913,1.262,10
archive_based,350,804.34,212.26,4.061,1.158,10
archive_based,360,751.07,199.65,3.697,1.048,10
archive_based,370,840.83,225.38,4.344,1.27,10
archive_based,380,836.55,205.11,4.233,1.145,10
archive_based,390,850.48,184.74,4.369,1.03,10
